Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-07-26,Midsommar,2019,https://boxd.it/LM7It,4,,,2019-07-04
2019-07-26,Toy Story 4,2019,https://boxd.it/LM7Ff,3,,,2019-07-11
2019-07-25,Black Mirror: Smithereens,2019,https://boxd.it/LHFfZ,3,,,2019-07-22
2019-07-25,"Black Mirror: Rachel, Jack and Ashley Too",2019,https://boxd.it/LKqYh,2.5,,,2019-07-24
2019-07-26,Long Shot,2019,https://boxd.it/LM5sj,2,,,2019-07-25
2019-08-01,Do the Right Thing,1989,https://boxd.it/M84kR,4,Yes,,2019-07-31
2019-08-05,Locke,2013,https://boxd.it/Mjq7R,3.5,Yes,,2019-08-04
2019-09-07,The Town,2010,https://boxd.it/O2Q23,3.5,,,2019-08-23
2019-09-01,Mary Queen of Scots,2018,https://boxd.it/NKwqj,2.5,,,2019-08-30
2019-09-02,The Souvenir,2019,https://boxd.it/NNfW9,3,,,2019-09-01
2019-09-07,Her Smell,2018,https://boxd.it/O2PXx,3,,,2019-09-06
2019-09-15,Shoplifters,2018,https://boxd.it/Osn7Z,3.5,,,2019-09-14
2019-09-17,Blade Runner 2049,2017,https://boxd.it/OBtt1,4,Yes,,2019-09-16
2019-09-22,First Man,2018,https://boxd.it/OQy41,3.5,Yes,,2019-09-21
2019-09-23,Zero Dark Thirty,2012,https://boxd.it/OSQod,3,Yes,,2019-09-22
2019-10-09,Joker,2019,https://boxd.it/PMne1,3,,,2019-10-08
2019-10-11,Peterloo,2018,https://boxd.it/PRJfl,2.5,,,2019-10-10
2019-10-19,The Art of Self-Defense,2019,https://boxd.it/Ql0bj,3,,,2019-10-18
2019-10-24,The Laundromat,2019,https://boxd.it/QEbmP,3,,,2019-10-22
2019-10-25,Us,2019,https://boxd.it/QHgi5,3.5,,,2019-10-23
2019-10-27,Dunkirk,2017,https://boxd.it/QPuyx,4,Yes,,2019-10-26
2019-11-02,The King,2019,https://boxd.it/RcYBx,3,,,2019-11-01
2019-12-18,Knives Out,2019,https://boxd.it/U2OAV,4,,,2019-11-28
2019-12-18,The Irishman,2019,https://boxd.it/U2Ov7,3.5,,,2019-12-16
2019-12-21,Marriage Story,2019,https://boxd.it/UgNdf,4,,,2019-12-19
2019-12-21,All Is True,2018,https://boxd.it/UgN2h,2.5,,,2019-12-20
2019-12-21,Booksmart,2019,https://boxd.it/UgN5F,3.5,,,2019-12-20
2019-12-23,Paddington 2,2017,https://boxd.it/UtvFB,3.5,Yes,,2019-12-22
2019-12-24,The Two Popes,2019,https://boxd.it/UuFMf,3,,,2019-12-23
2019-12-29,Little Women,2019,https://boxd.it/V0ghv,3.5,,,2019-12-28
2019-12-30,Ad Astra,2019,https://boxd.it/V3kHj,3,,,2019-12-29
2019-12-30,A Private War,2018,https://boxd.it/V3kUd,3,,,2019-12-29
2019-12-30,John Mulaney & The Sack Lunch Bunch,2019,https://boxd.it/V3l6N,2,,,2019-12-29
2019-12-31,The Happy Prince,2018,https://boxd.it/V6AcR,2,,,2019-12-30
2019-12-31,The Talented Mr. Ripley,1999,https://boxd.it/V7ROZ,4,Yes,,2019-12-30
2019-12-31,Pawn Sacrifice,2014,https://boxd.it/V9MXB,2.5,,,2019-12-30
2020-01-01,Klaus,2019,https://boxd.it/Vdyvh,3,,,2019-12-31
2020-01-01,Jojo Rabbit,2019,https://boxd.it/VeQmf,3,,,2019-12-31
2020-01-04,Parasite,2019,https://boxd.it/Vz4vl,4.5,,,2020-01-02
2020-01-05,Hustlers,2019,https://boxd.it/VGfWB,2.5,,,2020-01-04
2020-01-12,Star Wars: The Rise of Skywalker,2019,https://boxd.it/WiB7B,3,,,2020-01-08
2020-01-13,1917,2019,https://boxd.it/Wu029,4,,,2020-01-12
2020-01-22,Won't You Be My Neighbor?,2018,https://boxd.it/XmUNt,4,Yes,,2020-01-19
2020-01-31,Honey Boy,2019,https://boxd.it/Y3VGf,3,,,2020-01-30
2020-01-31,Withnail & I,1987,https://boxd.it/Y4dph,3,,,2020-01-30
2020-02-05,The Lighthouse,2019,https://boxd.it/Yxl1v,3.5,,,2020-02-04
2020-02-10,Uncut Gems,2019,https://boxd.it/YWT57,4,,,2020-02-09
2020-02-15,The Farewell,2019,https://boxd.it/ZoibX,3,,,2020-02-14
2020-02-18,Horse Girl,2020,https://boxd.it/ZIoYV,2.5,,,2020-02-17
2020-02-25,A Beautiful Day in the Neighborhood,2019,https://boxd.it/10k6kJ,3,,,2020-02-24
2020-03-22,Bombshell,2019,https://boxd.it/12njWb,2.5,,,2020-03-02
2020-03-22,"Happy New Year, Colin Burstead",2018,https://boxd.it/12nk9p,3,,,2020-03-16
2020-03-22,Honeyland,2019,https://boxd.it/12nkbv,4,,,2020-03-16
2020-03-22,Volver,2006,https://boxd.it/12nkep,3,,,2020-03-18
2020-03-22,Life of Brian,1979,https://boxd.it/12vcBh,3.5,,,2020-03-22
2020-03-30,Watchmen,2019,https://boxd.it/13k1SX,3,,,2020-03-28
2020-03-30,"Tiger King: Murder, Mayhem and Madness",2020,https://boxd.it/13k1Vd,2.5,,,2020-03-29
2020-04-02,Emma.,2020,https://boxd.it/13MUkH,2.5,,,2020-04-01
